Room,Date,NumOfPpl,Length,Age,Name,Phone,Time
Meeting,2023-05-02,10,1 hour,0-12,test2,000 000 0000,09:00
Meeting,2023-05-02,10,1 hour,0-12,test2,000 000 0000,10:00
Meeting,2023-05-02,10,1 hour,0-12,test3,000 000 0000,12:00
Meeting,2023-05-02,10,1 hour,0-12,test,000 000 0000,11:00
Meeting,2023-05-02,10,1 hour,0-12,test,000 000 0000,14:00
Meeting,2023-05-02,10,2 hours,0-12,test,000 000 0000,15:00
Meeting,2023-05-02,10,2 hours,0-12,test,000 000 0000,17:00
Meeting,2023-05-02,10,2 hours,0-12,test,000 000 0000,18:00
Meeting,2023-05-02,10,1 hour,0-12,test,000 000 0000,13:00
Moon,2023-04-17,100,1 hour,40,Bob,987 654 3210,14:00
Meeting,2023-05-03,10,1 hour,0-12,test4,000 000 0000,09:00
Moon,2023-05-03,10,1 hour,0-12,test4,000 000 0000,09:00
Meeting,2023-05-03,10,1 hour,0-12,test4,000 000 0000,09:00
Meeting,2023-05-03,10,1 hour,0-12,test4,000 000 0000,12:00
Meeting,2023-05-03,10,1 hour,0-12,test3,000 000 0000,10:00
Meeting,2023-05-17,55,1 hour,12-18,Amy,083 063 4225,09:00


Meeting,2023-04-17,100,1 hour,20-40,Jane,9876543210,14:00
